date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:48:08	182/182	---MC-	200	added ('OK')	text/plain	date:Sun,%2015%20Nov%202020%2009:48:09%20GMT	http://sikhreviewnorthamerica.com/robots.txt		(from )
01:48:08	69010/69010	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Nov%202020%2009:48:10%20GMT	http://sikhreviewnorthamerica.com/	D:/asr/asr/sikhreviewnorthamerica.com/index.html	(from )
01:48:09	114011/114011	---M--	200	added ('OK')	text/css	etag:%229520d18-1bd5b-574466d5e90c0%22	http://sikhreviewnorthamerica.com/wp-content/plugins/avata-hoo-contact-form/assets/plugins/bootstrap/css/bootstrap.min.css?ver=4.9.6	D:/asr/asr/sikhreviewnorthamerica.com/wp-content/plugins/avata-hoo-contact-form/assets/plugins/bootstrap/css/bootstrap.min1845.css	(from http://sikhreviewnorthamerica.com/)
01:48:09	700/700	---M--	200	added ('OK')	text/css	etag:%229520cd7-2bc-574466d5e90c0%22	http://sikhreviewnorthamerica.com/wp-content/plugins/avata-hoo-contact-form/assets/plugins/bootstrapvalidator/css/bootstrapValidator.css?ver=4.9.6	D:/asr/asr/sikhreviewnorthamerica.com/wp-content/plugins/avata-hoo-contact-form/assets/plugins/bootstrapvalidator/css/bootstrapValidator1845.css	(from http://sikhreviewnorthamerica.com/)
01:48:10	855/855	---MC-	200	added ('OK')	application/rss+xml	etag:%2242a951c3e8392fb6899465ba50816779%22	http://sikhreviewnorthamerica.com/comments/feed/	D:/asr/asr/sikhreviewnorthamerica.com/comments/feed/index.html	(from http://sikhreviewnorthamerica.com/)
01:48:10	31000/31000	---M--	200	added ('OK')	text/css	etag:%229520d09-7918-574466d5e90c0%22	http://sikhreviewnorthamerica.com/wp-content/plugins/avata-hoo-contact-form/assets/plugins/font-awesome/css/font-awesome.min.css?ver=4.9.6	D:/asr/asr/sikhreviewnorthamerica.com/wp-content/plugins/avata-hoo-contact-form/assets/plugins/font-awesome/css/font-awesome.min1845.css	(from http://sikhreviewnorthamerica.com/)
01:48:11	99/99	---M--	200	added ('OK')	text/css	etag:%229520d22-63-574466d5e90c0%22	http://sikhreviewnorthamerica.com/wp-content/plugins/avata-hoo-contact-form/assets/css/main.css?ver=4.9.6	D:/asr/asr/sikhreviewnorthamerica.com/wp-content/plugins/avata-hoo-contact-form/assets/css/main1845.css	(from http://sikhreviewnorthamerica.com/)
01:48:11	1743/1743	---M--	200	added ('OK')	text/css	etag:%229520d65-6cf-576334d02ebc0%22	http://sikhreviewnorthamerica.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.4	D:/asr/asr/sikhreviewnorthamerica.com/wp-content/plugins/contact-form-7/includes/css/styles5560.css	(from http://sikhreviewnorthamerica.com/)
01:48:11	16252/16252	---MC-	200	added ('OK')	application/rss+xml	etag:%226867c28a22b957e3d39de341be980a55%22	http://sikhreviewnorthamerica.com/feed/	D:/asr/asr/sikhreviewnorthamerica.com/feed/index.html	(from http://sikhreviewnorthamerica.com/)
01:48:11	3383/3383	---M--	200	added ('OK')	text/css	etag:%229521494-d37-576735f600c40%22	http://sikhreviewnorthamerica.com/wp-content/plugins/flowpaper-lite-pdf-flipbook/assets/lity/lity.min.css	D:/asr/asr/sikhreviewnorthamerica.com/wp-content/plugins/flowpaper-lite-pdf-flipbook/assets/lity/lity.min.css	(from http://sikhreviewnorthamerica.com/)
01:48:12	3222/3222	---M--	200	added ('OK')	text/css	etag:%22952147c-c96-57633b2a32800%22	http://sikhreviewnorthamerica.com/wp-content/plugins/wp-post-author//assets/css/awpa-frontend-style.css?ver=4.9.6	D:/asr/asr/sikhreviewnorthamerica.com/wp-content/plugins/wp-post-author/assets/css/awpa-frontend-style1845.css	(from http://sikhreviewnorthamerica.com/)
01:48:12	29389/29389	---M--	200	added ('OK')	text/css	etag:%229521460-72cd-57633517b5480%22	http://sikhreviewnorthamerica.com/wp-content/plugins/insta-gallery/assets/insta-gallery-min.css?ver=1.6.2	D:/asr/asr/sikhreviewnorthamerica.com/wp-content/plugins/insta-gallery/assets/insta-gallery-min1f22.css	(from http://sikhreviewnorthamerica.com/)
01:48:13	46360/46360	---M--	200	added ('OK')	text/css	etag:%229520252-b518-55720d7581fc0%22	http://sikhreviewnorthamerica.com/wp-includes/css/dashicons.min.css?ver=4.9.6	D:/asr/asr/sikhreviewnorthamerica.com/wp-includes/css/dashicons.min1845.css	(from http://sikhreviewnorthamerica.com/)
01:48:14	45687/45687	---M--	200	added ('OK')	text/css	etag:%229521739-b277-57633b134f200%22	http://sikhreviewnorthamerica.com/wp-content/themes/eximious-magazine/assets/lib/font-awesome-v5/css/all.css?ver=4.9.6	D:/asr/asr/sikhreviewnorthamerica.com/wp-content/themes/eximious-magazine/assets/lib/font-awesome-v5/css/all1845.css	(from http://sikhreviewnorthamerica.com/)
01:48:15	56048/56048	---M--	200	added ('OK')	text/css	etag:%229521721-daf0-57633b134f200%22	http://sikhreviewnorthamerica.com/wp-content/themes/eximious-magazine/assets/lib/animate/animate.min.css?ver=4.9.6	D:/asr/asr/sikhreviewnorthamerica.com/wp-content/themes/eximious-magazine/assets/lib/animate/animate.min1845.css	(from http://sikhreviewnorthamerica.com/)
01:48:16	3351/3351	---M--	200	added ('OK')	text/css	etag:%229521742-d17-57633b134f200%22	http://sikhreviewnorthamerica.com/wp-content/themes/eximious-magazine/assets/lib/owl/owl.carousel.min.css?ver=4.9.6	D:/asr/asr/sikhreviewnorthamerica.com/wp-content/themes/eximious-magazine/assets/lib/owl/owl.carousel.min1845.css	(from http://sikhreviewnorthamerica.com/)
01:48:17	1013/1013	---M--	200	added ('OK')	text/css	etag:%229521743-3f5-57633b134f200%22	http://sikhreviewnorthamerica.com/wp-content/themes/eximious-magazine/assets/lib/owl/owl.theme.default.min.css?ver=4.9.6	D:/asr/asr/sikhreviewnorthamerica.com/wp-content/themes/eximious-magazine/assets/lib/owl/owl.theme.default.min1845.css	(from http://sikhreviewnorthamerica.com/)
01:48:17	72076/72076	---M--	200	added ('OK')	text/css	etag:%22952176a-1198c-57633b134f200%22	http://sikhreviewnorthamerica.com/wp-content/themes/eximious-magazine/style.css?ver=4.9.6	D:/asr/asr/sikhreviewnorthamerica.com/wp-content/themes/eximious-magazine/style1845.css	(from http://sikhreviewnorthamerica.com/)
01:48:18	1401/1401	---M--	200	added ('OK')	text/css	etag:%229521053-579-5763353afe7c0%22	http://sikhreviewnorthamerica.com/wp-content/plugins/jetpack/modules/widgets/social-icons/social-icons.css?ver=20170506	D:/asr/asr/sikhreviewnorthamerica.com/wp-content/plugins/jetpack/modules/widgets/social-icons/social-iconsf4df.css	(from http://sikhreviewnorthamerica.com/)
01:48:18	67912/67912	---M--	200	added ('OK')	text/css	etag:%22952136b-10948-5763353ce6c40%22	http://sikhreviewnorthamerica.com/wp-content/plugins/jetpack/css/jetpack.css?ver=6.5	D:/asr/asr/sikhreviewnorthamerica.com/wp-content/plugins/jetpack/css/jetpack8f99.css	(from http://sikhreviewnorthamerica.com/)
01:48:21	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%229520425-2748-5333ff613c400%22	http://sikhreviewnorthamerica.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	D:/asr/asr/sikhreviewnorthamerica.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://sikhreviewnorthamerica.com/)
01:48:21	6640/6640	---M--	200	added ('OK')	application/javascript	etag:%229521493-19f0-576735f600c40%22	http://sikhreviewnorthamerica.com/wp-content/plugins/flowpaper-lite-pdf-flipbook/assets/lity/lity.min.js	D:/asr/asr/sikhreviewnorthamerica.com/wp-content/plugins/flowpaper-lite-pdf-flipbook/assets/lity/lity.min.js	(from http://sikhreviewnorthamerica.com/)
